"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"AAlb"	0.009396	"Schwerin"	"increasing"	1	0.00496738370184278	TRUE
"ACam"	0.01008	"Schwerin"	"increasing"	1	0.00532899400963977	TRUE
"AGlu"	0.001229	"Schwerin"	"increasing"	1	0.000649735479945166	FALSE
"AInc"	0.00033	"Schwerin"	"increasing"	1	0.000174461113410826	FALSE
"APla"	0.009095	"Schwerin"	"increasing"	1	0.00480825401961049	TRUE
"APse"	0.033601	"Schwerin"	"increasing"	1	0.0177638420355065	TRUE
"AVir"	0	"Schwerin"	"increasing"	1	0	FALSE
"BPen"	0.003528	"Schwerin"	"increasing"	1	0.00186514790337392	FALSE
"CAve"	0.000258	"Schwerin"	"increasing"	1	0.000136396870484827	FALSE
"CBet"	0.074444	"Schwerin"	"increasing"	1	0.0393563125053197	TRUE
"CSat"	0.637263	"Schwerin"	"increasing"	1	0.336901856107646	TRUE
"FExc"	0.006311	"Schwerin"	"increasing"	1	0.00333643662647188	FALSE
"FSyl"	0.516012	"Schwerin"	"increasing"	1	0.272800085010143	TRUE
"LDec"	0.017494	"Schwerin"	"increasing"	1	0.00924855369093632	TRUE
"PAbi"	0.007766	"Schwerin"	"increasing"	1	0.00410565153560143	FALSE
"PCem"	0.002402	"Schwerin"	"increasing"	1	0.00126986543761456	FALSE
"PMon"	0.000286	"Schwerin"	"increasing"	1	0.000151199631622716	FALSE
"PNig"	0.001294	"Schwerin"	"increasing"	1	0.000684099032586693	FALSE
"PSyl"	0.005445	"Schwerin"	"increasing"	1	0.00287860837127863	TRUE
"PTre"	0.027652	"Schwerin"	"increasing"	1	0.0146187839637459	TRUE
"QPet"	0.170023	"Schwerin"	"increasing"	1	0.0898860663195419	TRUE
"QPub"	0.004521	"Schwerin"	"increasing"	1	0.00239011725372831	FALSE
"QRob"	0.307286	"Schwerin"	"increasing"	1	0.162452902107755	TRUE
"SAlb"	0.001354	"Schwerin"	"increasing"	1	0.000715819235025025	FALSE
"SAri"	0.000472	"Schwerin"	"increasing"	1	0.000249532259181545	FALSE
"SAuc"	0.001624	"Schwerin"	"increasing"	1	0.000858560145997518	FALSE
"TBac"	0.001111	"Schwerin"	"increasing"	1	0.00058735241514978	FALSE
"TCor"	0.016302	"Schwerin"	"increasing"	1	0.00861837900249479	TRUE
"TPla"	0.002724	"Schwerin"	"increasing"	1	0.00144009719070027	FALSE
"UGla"	0.022236	"Schwerin"	"increasing"	1	0.0117555070236458	TRUE
"AAlb"	0.010571	"Schwerin"	"increasing"	2	0.00575029959109827	TRUE
"ACam"	0.009791	"Schwerin"	"increasing"	2	0.00532600352818495	TRUE
"AGlu"	0.001597	"Schwerin"	"increasing"	2	0.00086871899034944	FALSE
"AInc"	0.000531	"Schwerin"	"increasing"	2	0.00028884770436791	FALSE
"APla"	0.008547	"Schwerin"	"increasing"	2	0.00464930570476936	TRUE
"APse"	0.029949	"Schwerin"	"increasing"	2	0.016291336907937	TRUE
"AVir"	0	"Schwerin"	"increasing"	2	0	FALSE
"BPen"	0.002432	"Schwerin"	"increasing"	2	0.00132293336539126	FALSE
"CAve"	0.000169	"Schwerin"	"increasing"	2	9.19308136312182e-05	FALSE
"CSat"	0.612787	"Schwerin"	"increasing"	2	0.333337322441617	TRUE
"FExc"	0.006149	"Schwerin"	"increasing"	2	0.00334486729596663	FALSE
"FSyl"	0.512666	"Schwerin"	"increasing"	2	0.278874571012202	TRUE
"LDec"	0.024006	"Schwerin"	"increasing"	2	0.0130585272901244	TRUE
"PAbi"	0.006819	"Schwerin"	"increasing"	2	0.00370932673462294	FALSE
"PCem"	0.001392	"Schwerin"	"increasing"	2	0.000757205281506839	FALSE
"PMon"	0.000291	"Schwerin"	"increasing"	2	0.000158295069625352	FALSE
"PNig"	0.001448	"Schwerin"	"increasing"	2	0.000787667562946769	FALSE
"PSyl"	0.002639	"Schwerin"	"increasing"	2	0.00143553501285671	FALSE
"PTre"	0.021293	"Schwerin"	"increasing"	2	0.0115827385482221	TRUE
"QPet"	0.22521	"Schwerin"	"increasing"	2	0.122507328626548	TRUE
"QPub"	0.003332	"Schwerin"	"increasing"	2	0.00181250574567585	FALSE
"QRob"	0.317538	"Schwerin"	"increasing"	2	0.17273092721201	TRUE
"SAlb"	0.001445	"Schwerin"	"increasing"	2	0.000786035655012487	FALSE
"SAri"	0.000408	"Schwerin"	"increasing"	2	0.000221939479062349	FALSE
"SAuc"	0.00117	"Schwerin"	"increasing"	2	0.000636444094369972	FALSE
"TBac"	0.000951	"Schwerin"	"increasing"	2	0.000517314815167388	FALSE
"TCor"	0.013274	"Schwerin"	"increasing"	2	0.00722064863988633	TRUE
"TPla"	0.002481	"Schwerin"	"increasing"	2	0.0013495878616512	FALSE
"UGla"	0.019453	"Schwerin"	"increasing"	2	0.0105818350151958	TRUE
"AAlb"	0.007915	"Schwerin"	"increasing"	3	0.00431832404288971	TRUE
"ACam"	0.011144	"Schwerin"	"increasing"	3	0.00608002566442994	TRUE
"AGlu"	0.001441	"Schwerin"	"increasing"	3	0.000786191401870383	FALSE
"AInc"	0.00034	"Schwerin"	"increasing"	3	0.000185499706201201	FALSE
"APla"	0.008858	"Schwerin"	"increasing"	3	0.00483281293391246	TRUE
"APse"	0.032457	"Schwerin"	"increasing"	3	0.0177081293063893	TRUE
"AVir"	1.1e-05	"Schwerin"	"increasing"	3	6.00146108298002e-06	FALSE
"BPen"	0.002265	"Schwerin"	"increasing"	3	0.0012357553957227	FALSE
"CAve"	0.000266	"Schwerin"	"increasing"	3	0.000145126240733881	FALSE
"CSat"	0.645103	"Schwerin"	"increasing"	3	0.351960049910333	TRUE
"FSyl"	0.540338	"Schwerin"	"increasing"	3	0.29480158896866	TRUE
"LDec"	0.012508	"Schwerin"	"increasing"	3	0.00682420683871946	TRUE
"PAbi"	0.007644	"Schwerin"	"increasing"	3	0.00417046986529993	FALSE
"PCem"	0.000616	"Schwerin"	"increasing"	3	0.000336081820646881	FALSE
"PMon"	0.000283	"Schwerin"	"increasing"	3	0.000154401226043941	FALSE
"PNig"	0.001435	"Schwerin"	"increasing"	3	0.000782917877643303	FALSE
"PSyl"	0.002027	"Schwerin"	"increasing"	3	0.00110590560138186	FALSE
"PTre"	0.024211	"Schwerin"	"increasing"	3	0.013209215843639	TRUE
"QPet"	0.214029	"Schwerin"	"increasing"	3	0.116771519466285	TRUE
"QPub"	0.001894	"Schwerin"	"increasing"	3	0.00103334248101492	TRUE
"QRob"	0.27596	"Schwerin"	"increasing"	3	0.150560290950833	TRUE
"SAlb"	0.001513	"Schwerin"	"increasing"	3	0.000825473692595343	FALSE
"SAri"	0.000353	"Schwerin"	"increasing"	3	0.000192592342026541	FALSE
"SAuc"	0.001478	"Schwerin"	"increasing"	3	0.000806378134604043	FALSE
"TBac"	0.001038	"Schwerin"	"increasing"	3	0.000566319691284842	FALSE
"TCor"	0.014404	"Schwerin"	"increasing"	3	0.00785864049447675	TRUE
"TPla"	0.002678	"Schwerin"	"increasing"	3	0.00146108298002004	FALSE
"UGla"	0.020678	"Schwerin"	"increasing"	3	0.0112816556612601	TRUE
"AAlb"	0.00732	"Schwerin"	"increasing"	4	0.00392419232402249	TRUE
"ACam"	0.01258	"Schwerin"	"increasing"	4	0.00674403544210423	TRUE
"AGlu"	0.00168	"Schwerin"	"increasing"	4	0.000900634303874014	FALSE
"AInc"	0.000505	"Schwerin"	"increasing"	4	0.000270726383009748	FALSE
"APla"	0.008992	"Schwerin"	"increasing"	4	0.00482053789311615	TRUE
"AVir"	4e-06	"Schwerin"	"increasing"	4	2.14436739017622e-06	FALSE
"BPen"	0.003245	"Schwerin"	"increasing"	4	0.00173961804528046	FALSE
"CAve"	0.000248	"Schwerin"	"increasing"	4	0.000132950778190926	FALSE
"CSat"	0.633054	"Schwerin"	"increasing"	4	0.339375088455155	TRUE
"FSyl"	0.555222	"Schwerin"	"increasing"	4	0.297649987777106	TRUE
"LDec"	0.025935	"Schwerin"	"increasing"	4	0.0139035420660551	TRUE
"PAbi"	0.007509	"Schwerin"	"increasing"	4	0.00402551368320832	FALSE
"PCem"	0.001411	"Schwerin"	"increasing"	4	0.000756425596884663	FALSE
"PMon"	0.000901	"Schwerin"	"increasing"	4	0.000483018754637195	FALSE
"PNig"	0.001543	"Schwerin"	"increasing"	4	0.000827189720760478	FALSE
"PSyl"	0.004836	"Schwerin"	"increasing"	4	0.00259254017472305	FALSE
"PTre"	0.028449	"Schwerin"	"increasing"	4	0.0152512769707808	TRUE
"QPet"	0.234271	"Schwerin"	"increasing"	4	0.125590773215994	TRUE
"QPub"	0.00492	"Schwerin"	"increasing"	4	0.00263757188991676	FALSE
"QRob"	0.288609	"Schwerin"	"increasing"	4	0.154720932027842	TRUE
"SAlb"	0.001856	"Schwerin"	"increasing"	4	0.000994986469041768	FALSE
"SAri"	0.000714	"Schwerin"	"increasing"	4	0.000382769579146456	FALSE
"SAuc"	0.001811	"Schwerin"	"increasing"	4	0.000970862335902286	FALSE
"TBac"	0.001172	"Schwerin"	"increasing"	4	0.000628299645321634	FALSE
"TCor"	0.014655	"Schwerin"	"increasing"	4	0.00785642602575814	TRUE
"TPla"	0.002881	"Schwerin"	"increasing"	4	0.00154448061277443	FALSE
"UGla"	0.021029	"Schwerin"	"increasing"	4	0.011273475462004	TRUE
"AAlb"	0.020046	"Schwerin"	"increasing"	5	0.00923516216817614	TRUE
"ACam"	0.026912	"Schwerin"	"increasing"	5	0.0123983180819094	TRUE
"AGlu"	0.00256	"Schwerin"	"increasing"	5	0.00117938816474763	FALSE
"AInc"	0.001313	"Schwerin"	"increasing"	5	0.000604897132935013	FALSE
"APla"	0.023109	"Schwerin"	"increasing"	5	0.0106462816793566	TRUE
"AVir"	0	"Schwerin"	"increasing"	5	0	FALSE
"BPen"	0.007371	"Schwerin"	"increasing"	5	0.00339580865716983	FALSE
"CAve"	0.000601	"Schwerin"	"increasing"	5	0.00027687979961458	FALSE
"FSyl"	0.790134	"Schwerin"	"increasing"	5	0.364013550064337	TRUE
"LDec"	0.052642	"Schwerin"	"increasing"	5	0.0242520905346268	TRUE
"PAbi"	0.016703	"Schwerin"	"increasing"	5	0.00769504707647641	FALSE
"PCem"	0.021579	"Schwerin"	"increasing"	5	0.00994141297151916	TRUE
"PMon"	0.001081	"Schwerin"	"increasing"	5	0.00049801508050476	FALSE
"PNig"	0.002423	"Schwerin"	"increasing"	5	0.00111627246999355	FALSE
"PSyl"	0.007204	"Schwerin"	"increasing"	5	0.00331887200736012	TRUE
"PTre"	0.053026	"Schwerin"	"increasing"	5	0.0244289987593389	TRUE
"QPet"	0.470917	"Schwerin"	"increasing"	5	0.216950756397835	TRUE
"QPub"	0.012244	"Schwerin"	"increasing"	5	0.00564079245670701	TRUE
"QRob"	0.479273	"Schwerin"	"increasing"	5	0.220800353079332	TRUE
"SAlb"	0.003053	"Schwerin"	"increasing"	5	0.00140651252616192	FALSE
"SAri"	0.001549	"Schwerin"	"increasing"	5	0.000713621979372685	FALSE
"SAuc"	0.003516	"Schwerin"	"increasing"	5	0.00161981593252057	FALSE
"TBac"	0.002857	"Schwerin"	"increasing"	5	0.00131621561979843	FALSE
"TCor"	0.113209	"Schwerin"	"increasing"	5	0.0521552166964508	TRUE
"TPla"	0.008588	"Schwerin"	"increasing"	5	0.0039564787339268	TRUE
"UGla"	0.048707	"Schwerin"	"increasing"	5	0.0224392419298292	TRUE
"AAlb"	0.018029	"Schwerin"	"increasing"	6	0.00825713115872799	TRUE
"AGlu"	0.002397	"Schwerin"	"increasing"	6	0.00109780594528099	FALSE
"AInc"	0.000839	"Schwerin"	"increasing"	6	0.000384254980430017	FALSE
"APla"	0.022492	"Schwerin"	"increasing"	6	0.0103011478186316	TRUE
"AVir"	3.6e-05	"Schwerin"	"increasing"	6	1.64876988027183e-05	FALSE
"BPen"	0.010693	"Schwerin"	"increasing"	6	0.00489730453604074	FALSE
"CAve"	0.000553	"Schwerin"	"increasing"	6	0.000253269373275089	FALSE
"FSyl"	0.754031	"Schwerin"	"increasing"	6	0.345339889330902	TRUE
"LDec"	0.067876	"Schwerin"	"increasing"	6	0.0310866401092585	TRUE
"PAbi"	0.016091	"Schwerin"	"increasing"	6	0.00736954337318166	FALSE
"PCem"	0.00778	"Schwerin"	"increasing"	6	0.00356317490792078	TRUE
"PMon"	0.001531	"Schwerin"	"increasing"	6	0.000701185190748935	FALSE
"PNig"	0.002464	"Schwerin"	"increasing"	6	0.00112849138471938	FALSE
"PSyl"	0.010018	"Schwerin"	"increasing"	6	0.00458816018348977	TRUE
"PTre"	0.056737	"Schwerin"	"increasing"	6	0.0259850713047174	TRUE
"QPet"	0.457053	"Schwerin"	"increasing"	6	0.209326450024411	TRUE
"QPub"	0.015988	"Schwerin"	"increasing"	6	0.00732237023494055	TRUE
"QRob"	0.561191	"Schwerin"	"increasing"	6	0.257020782744341	TRUE
"SAlb"	0.002661	"Schwerin"	"increasing"	6	0.00121871573650093	FALSE
"SAri"	0.001556	"Schwerin"	"increasing"	6	0.000712634981584156	FALSE
"SAuc"	0.004365	"Schwerin"	"increasing"	6	0.00199913347982959	FALSE
"TBac"	0.002941	"Schwerin"	"increasing"	6	0.0013469533938554	FALSE
"TCor"	0.111894	"Schwerin"	"increasing"	6	0.0512465158286488	TRUE
"TPla"	0.007313	"Schwerin"	"increasing"	6	0.00334929281511885	TRUE
"UGla"	0.046917	"Schwerin"	"increasing"	6	0.0214875934646426	TRUE
"AAlb"	0.031224	"Schwerin"	"increasing"	7	0.0176462509911322	TRUE
"AGlu"	0.002499	"Schwerin"	"increasing"	7	0.00141231044154623	FALSE
"AInc"	0.00119	"Schwerin"	"increasing"	7	0.00067252878168868	FALSE
"APla"	0.034861	"Schwerin"	"increasing"	7	0.0197017024020581	TRUE
"AVir"	2.1e-05	"Schwerin"	"increasing"	7	1.18681549709767e-05	FALSE
"BPen"	0.009553	"Schwerin"	"increasing"	7	0.00539888021132098	FALSE
"CAve"	0.000613	"Schwerin"	"increasing"	7	0.000346437095105177	FALSE
"LDec"	0.060748	"Schwerin"	"increasing"	7	0.0343317465798521	TRUE
"PAbi"	0.021926	"Schwerin"	"increasing"	7	0.0123914840901731	FALSE
"PCem"	0.016849	"Schwerin"	"increasing"	7	0.00952221633838031	TRUE
"PMon"	0.001492	"Schwerin"	"increasing"	7	0.00084320415317606	FALSE
"PNig"	0.002672	"Schwerin"	"increasing"	7	0.00151008143249761	FALSE
"PSyl"	0.015881	"Schwerin"	"increasing"	7	0.00897515090924196	TRUE
"PTre"	0.073281	"Schwerin"	"increasing"	7	0.0414147744965783	TRUE
"QPet"	0.610102	"Schwerin"	"increasing"	7	0.344799289719183	TRUE
"QPub"	0.019958	"Schwerin"	"increasing"	7	0.0112792684243216	TRUE
"QRob"	0.563656	"Schwerin"	"increasing"	7	0.318550321824802	TRUE
"SAlb"	0.002603	"Schwerin"	"increasing"	7	0.0014710860661644	FALSE
"SAri"	0.002118	"Schwerin"	"increasing"	7	0.00119698820135851	FALSE
"SAuc"	0.004574	"Schwerin"	"increasing"	7	0.00258499718272607	FALSE
"TBac"	0.004544	"Schwerin"	"increasing"	7	0.00256804267562467	FALSE
"TCor"	0.203796	"Schwerin"	"increasing"	7	0.115175357641199	TRUE
"TPla"	0.01345	"Schwerin"	"increasing"	7	0.00760127068379223	TRUE
"UGla"	0.07183	"Schwerin"	"increasing"	7	0.0405947415031075	TRUE
"AAlb"	0.024892	"Schwerin"	"increasing"	8	0.01475345513686	TRUE
"AGlu"	0.002939	"Schwerin"	"increasing"	8	0.00174194137261898	FALSE
"AInc"	0.000995	"Schwerin"	"increasing"	8	0.000589735170383085	FALSE
"APla"	0.032339	"Schwerin"	"increasing"	8	0.0191672820854458	TRUE
"AVir"	1.9e-05	"Schwerin"	"increasing"	8	1.12612746103303e-05	FALSE
"BPen"	0.010612	"Schwerin"	"increasing"	8	0.0062897182192013	FALSE
"CAve"	0.000751	"Schwerin"	"increasing"	8	0.000445116696439896	FALSE
"LDec"	0.072309	"Schwerin"	"increasing"	8	0.0428574476735985	TRUE
"PAbi"	0.019606	"Schwerin"	"increasing"	8	0.0116204500005334	FALSE
"PCem"	0.00784	"Schwerin"	"increasing"	8	0.00464675752342049	TRUE
"PMon"	0.002207	"Schwerin"	"increasing"	8	0.00130808595078942	FALSE
"PNig"	0.002631	"Schwerin"	"increasing"	8	0.00155939018419889	FALSE
"PSyl"	0.009844	"Schwerin"	"increasing"	8	0.00583452564547848	TRUE
"PTre"	0.057132	"Schwerin"	"increasing"	8	0.0338620600545994	TRUE
"QPet"	0.568003	"Schwerin"	"increasing"	8	0.336654619078496	TRUE
"QPub"	0.02056	"Schwerin"	"increasing"	8	0.0121858845257047	TRUE
"QRob"	0.570772	"Schwerin"	"increasing"	8	0.338295801678286	TRUE
"SAlb"	0.002913	"Schwerin"	"increasing"	8	0.00172653120736274	FALSE
"SAri"	0.002012	"Schwerin"	"increasing"	8	0.0011925097113676	FALSE
"TBac"	0.004748	"Schwerin"	"increasing"	8	0.00281413325525516	FALSE
"TCor"	0.192714	"Schwerin"	"increasing"	8	0.114221330276589	TRUE
"TPla"	0.013822	"Schwerin"	"increasing"	8	0.00819228092968342	TRUE
"UGla"	0.067538	"Schwerin"	"increasing"	8	0.0400296823490782	TRUE
"AAlb"	0.031289	"Schwerin"	"increasing"	9	0.0178617709350185	TRUE
"AGlu"	0.002569	"Schwerin"	"increasing"	9	0.00146655021036347	FALSE
"AInc"	0.001491	"Schwerin"	"increasing"	9	0.000851158568957545	FALSE
"APla"	0.03199	"Schwerin"	"increasing"	9	0.0182619467612018	TRUE
"AVir"	1.4e-05	"Schwerin"	"increasing"	9	7.99209923903798e-06	FALSE
"BPen"	0.011153	"Schwerin"	"increasing"	9	0.00636684877235647	FALSE
"LDec"	0.066973	"Schwerin"	"increasing"	9	0.0382324901668636	TRUE
"PAbi"	0.018482	"Schwerin"	"increasing"	9	0.0105507127239929	FALSE
"PCem"	0.008448	"Schwerin"	"increasing"	9	0.00482266102652806	TRUE
"PMon"	0.001719	"Schwerin"	"increasing"	9	0.000981315613707592	FALSE
"PNig"	0.00276	"Schwerin"	"increasing"	9	0.0015755852785532	FALSE
"PSyl"	0.01109	"Schwerin"	"increasing"	9	0.0063308843257808	TRUE
"PTre"	0.0644	"Schwerin"	"increasing"	9	0.0367636564995747	TRUE
"QPet"	0.555436	"Schwerin"	"increasing"	9	0.317078545209593	TRUE
"QPub"	0.01714	"Schwerin"	"increasing"	9	0.00978461292550793	TRUE
"QRob"	0.679368	"Schwerin"	"increasing"	9	0.387826891130482	TRUE
"SAlb"	0.003199	"Schwerin"	"increasing"	9	0.00182619467612018	FALSE
"SAri"	0.002203	"Schwerin"	"increasing"	9	0.00125761390168576	FALSE
"TBac"	0.004628	"Schwerin"	"increasing"	9	0.00264195966273341	FALSE
"TCor"	0.156291	"Schwerin"	"increasing"	9	0.0892209415834632	TRUE
"TPla"	0.014613	"Schwerin"	"increasing"	9	0.00834203901286157	TRUE
"UGla"	0.066474	"Schwerin"	"increasing"	9	0.037947628915415	TRUE
"AAlb"	0.035969	"Schwerin"	"increasing"	10	0.0268043311399423	TRUE
"AGlu"	0.00198	"Schwerin"	"increasing"	10	0.00147550878971019	FALSE
"AInc"	0.000257	"Schwerin"	"increasing"	10	0.000191518060078545	FALSE
"APla"	0.047515	"Schwerin"	"increasing"	10	0.0354084849207473	TRUE
"AVir"	0	"Schwerin"	"increasing"	10	0	FALSE
"BPen"	0.003769	"Schwerin"	"increasing"	10	0.00280868314566551	FALSE
"LDec"	0.051569	"Schwerin"	"increasing"	10	0.0384295519073559	TRUE
"PAbi"	0.017581	"Schwerin"	"increasing"	10	0.0131014747635833	FALSE
"PCem"	0.038111	"Schwerin"	"increasing"	10	0.0284005633760833	TRUE
"PMon"	0.00143	"Schwerin"	"increasing"	10	0.00106564523701291	FALSE
"PNig"	0.00231	"Schwerin"	"increasing"	10	0.00172142692132855	FALSE
"PSyl"	0.019741	"Schwerin"	"increasing"	10	0.0147111207159944	TRUE
"PTre"	0.036063	"Schwerin"	"increasing"	10	0.0268743805471306	TRUE
"QPub"	0.026403	"Schwerin"	"increasing"	10	0.0196756861488475	TRUE
"QRob"	0.538662	"Schwerin"	"increasing"	10	0.401414401860035	TRUE
"SAlb"	0.002092	"Schwerin"	"increasing"	10	0.00155897191316854	FALSE
"SAri"	0.001515	"Schwerin"	"increasing"	10	0.00112898778606613	FALSE
"TBac"	0.007869	"Schwerin"	"increasing"	10	0.00586402962940883	TRUE
"TCor"	0.380948	"Schwerin"	"increasing"	10	0.283884910314403	TRUE
"TPla"	0.027119	"Schwerin"	"increasing"	10	0.0202092539738134	TRUE
"UGla"	0.101007	"Schwerin"	"increasing"	10	0.0752710688496248	TRUE
"AAlb"	0.032295	"Schwerin"	"increasing"	11	0.0232701914575808	TRUE
"AGlu"	0.002058	"Schwerin"	"increasing"	11	0.0014828937612541	FALSE
"AInc"	0.000346	"Schwerin"	"increasing"	11	0.000249310612922216	FALSE
"APla"	0.045044	"Schwerin"	"increasing"	11	0.0324564949377696	TRUE
"AVir"	1.4e-05	"Schwerin"	"increasing"	11	1.00877126615925e-05	FALSE
"BPen"	0.004435	"Schwerin"	"increasing"	11	0.00319564326101164	FALSE
"LDec"	0.099893	"Schwerin"	"increasing"	11	0.071977991493176	TRUE
"PAbi"	0.017632	"Schwerin"	"increasing"	11	0.0127047535463714	FALSE
"PCem"	0.028369	"Schwerin"	"increasing"	11	0.0204413086069085	TRUE
"PMon"	0.002237	"Schwerin"	"increasing"	11	0.00161187237314161	FALSE
"PNig"	0.002142	"Schwerin"	"increasing"	11	0.00154342003722366	FALSE
"PSyl"	0.018601	"Schwerin"	"increasing"	11	0.0134029673727345	TRUE
"PTre"	0.03595	"Schwerin"	"increasing"	11	0.0259038050131609	TRUE
"QPub"	0.022392	"Schwerin"	"increasing"	11	0.0161345758513129	TRUE
"QRob"	0.5903	"Schwerin"	"increasing"	11	0.425341198867006	TRUE
"SAri"	0.001547	"Schwerin"	"increasing"	11	0.00111469224910598	FALSE
"TBac"	0.007252	"Schwerin"	"increasing"	11	0.00522543515870494	TRUE
"TCor"	0.355694	"Schwerin"	"increasing"	11	0.256295633389464	TRUE
"TPla"	0.024708	"Schwerin"	"increasing"	11	0.017803371745902	TRUE
"UGla"	0.096918	"Schwerin"	"increasing"	11	0.0698343525525876	TRUE
"AAlb"	0.046287	"Schwerin"	"increasing"	12	0.0289052752267797	TRUE
"AGlu"	0.003	"Schwerin"	"increasing"	12	0.00187343802104995	FALSE
"AInc"	0.000841	"Schwerin"	"increasing"	12	0.000525187125234336	FALSE
"APla"	0.063662	"Schwerin"	"increasing"	12	0.0397556037653606	TRUE
"AVir"	2.1e-05	"Schwerin"	"increasing"	12	1.31140661473496e-05	FALSE
"BPen"	0.012655	"Schwerin"	"increasing"	12	0.00790278605212904	FALSE
"LDec"	0.119767	"Schwerin"	"increasing"	12	0.0747920171556964	TRUE
"PAbi"	0.029729	"Schwerin"	"increasing"	12	0.0185651463092646	FALSE
"PCem"	0.034124	"Schwerin"	"increasing"	12	0.0213097330101028	TRUE
"PMon"	0.004275	"Schwerin"	"increasing"	12	0.00266964917999618	FALSE
"PNig"	0.002919	"Schwerin"	"increasing"	12	0.0018228551944816	FALSE
"PSyl"	0.032264	"Schwerin"	"increasing"	12	0.0201482014370519	TRUE
"PTre"	0.081659	"Schwerin"	"increasing"	12	0.0509943584536393	TRUE
"QPub"	0.047007	"Schwerin"	"increasing"	12	0.0293549003518317	TRUE
"QRob"	0.904212	"Schwerin"	"increasing"	12	0.564661713296539	TRUE
"SAri"	0.004175	"Schwerin"	"increasing"	12	0.00260720124596118	FALSE
"TBac"	0.022266	"Schwerin"	"increasing"	12	0.0139046569922327	TRUE
"TPla"	0.054613	"Schwerin"	"increasing"	12	0.0341046902145336	TRUE
"UGla"	0.137858	"Schwerin"	"increasing"	12	0.086089472901968	TRUE
"AAlb"	0.036882	"Schwerin"	"increasing"	13	0.0233644356572126	TRUE
"AGlu"	0.003043	"Schwerin"	"increasing"	13	0.00192771481223627	FALSE
"AInc"	0.001398	"Schwerin"	"increasing"	13	0.000885621198654717	FALSE
"AVir"	1e-05	"Schwerin"	"increasing"	13	6.33491558408238e-06	FALSE
"BPen"	0.009545	"Schwerin"	"increasing"	13	0.00604667692500664	TRUE
"LDec"	0.110663	"Schwerin"	"increasing"	13	0.0701040763281309	TRUE
"PAbi"	0.028712	"Schwerin"	"increasing"	13	0.0181888096250173	FALSE
"PCem"	0.03698	"Schwerin"	"increasing"	13	0.0234265178299367	TRUE
"PMon"	0.00306	"Schwerin"	"increasing"	13	0.00193848416872921	FALSE
"PNig"	0.003239	"Schwerin"	"increasing"	13	0.00205187915768428	FALSE
"PSyl"	0.04168	"Schwerin"	"increasing"	13	0.0264039281544554	TRUE
"PTre"	0.088171	"Schwerin"	"increasing"	13	0.0558555841964128	TRUE
"QPub"	0.050047	"Schwerin"	"increasing"	13	0.0317043520236571	TRUE
"QRob"	0.952439	"Schwerin"	"increasing"	13	0.603362066398784	TRUE
"SAri"	0.004841	"Schwerin"	"increasing"	13	0.00306673263425428	FALSE
"TBac"	0.024728	"Schwerin"	"increasing"	13	0.0156649792563189	TRUE
"TPla"	0.052495	"Schwerin"	"increasing"	13	0.0332551393586405	TRUE
"UGla"	0.13062	"Schwerin"	"increasing"	13	0.0827466673592841	TRUE
"AAlb"	0.043291	"Schwerin"	"increasing"	14	0.0265038392639584	TRUE
"AGlu"	0.00317	"Schwerin"	"increasing"	14	0.00194075374712407	FALSE
"AInc"	0.001123	"Schwerin"	"increasing"	14	0.000687528851110515	FALSE
"AVir"	3.6e-05	"Schwerin"	"increasing"	14	2.20401056455731e-05	FALSE
"BPen"	0.01061	"Schwerin"	"increasing"	14	0.00649570891387584	TRUE
"LDec"	0.158446	"Schwerin"	"increasing"	14	0.0970046271977353	TRUE
"PAbi"	0.030876	"Schwerin"	"increasing"	14	0.0189030639420198	FALSE
"PCem"	0.05916	"Schwerin"	"increasing"	14	0.0362192402775584	TRUE
"PMon"	0.005541	"Schwerin"	"increasing"	14	0.00339233959394779	TRUE
"PNig"	0.003086	"Schwerin"	"increasing"	14	0.00188932683395107	FALSE
"PSyl"	0.035182	"Schwerin"	"increasing"	14	0.0215393054672931	TRUE
"QPub"	0.057711	"Schwerin"	"increasing"	14	0.0353321260253241	TRUE
"QRob"	1.020337	"Schwerin"	"increasing"	14	0.624675979835752	TRUE
"SAri"	0.005106	"Schwerin"	"increasing"	14	0.00312602165073045	FALSE
"TBac"	0.024876	"Schwerin"	"increasing"	14	0.015229713001091	TRUE
"TPla"	0.051841	"Schwerin"	"increasing"	14	0.031738364354782	TRUE
"UGla"	0.122994	"Schwerin"	"increasing"	14	0.0753000209381004	TRUE
"AAlb"	0.043009	"Schwerin"	"increasing"	15	0.0269713329641751	TRUE
"AGlu"	0.003715	"Schwerin"	"increasing"	15	0.00232971010630125	FALSE
"AInc"	0.001378	"Schwerin"	"increasing"	15	0.000864156265540546	FALSE
"AVir"	4.5e-05	"Schwerin"	"increasing"	15	2.82199070749815e-05	FALSE
"BPen"	0.017007	"Schwerin"	"increasing"	15	0.0106652435472047	TRUE
"LDec"	0.145846	"Schwerin"	"increasing"	15	0.0914613459390613	TRUE
"PAbi"	0.030537	"Schwerin"	"increasing"	15	0.0191500289410825	TRUE
"PCem"	0.051271	"Schwerin"	"increasing"	15	0.0321525079031418	TRUE
"PMon"	0.005113	"Schwerin"	"increasing"	15	0.00320640855276401	TRUE
"PNig"	0.003703	"Schwerin"	"increasing"	15	0.00232218479774793	FALSE
